tortured_phrase,expected_phrase,num_papers
"""antibody intervened""",antibody mediated,6
"""astute household""",smart home,6
"""dynamic time distorting""",Dynamic Time Warping (DTW),6
"""propelled diabetes""",advanced diabetes,6
"""Data And Interchanges Innovation (ICT)""",Information And Communications Technology (ICT),6
"""off-focusing"" AND ""off-target""",off-target,6
"""Hypothesis of Arranged Conduct (TPB)""",Theory of Planned Behavior (TPB),6
"""obtrusive breast cancer""",invasive breast cancer,6
"""unbiased element analysis""",independent component analysis (ICA),6
"""chart tagging""",graph labeling,6
"""intermittent layer"" AND ""recurrent layer""",recurrent layer (neural network),6
"""eigen-confront""",Eigen-face,6
"""high pass channel (HPF)""",high pass filter,6
"""low-asset dialect""",low-resource language,6
"""couple of-enter more than one-output""",multiple-input multiple-output,6
"""blocking curios""",blocking artifacts,6
"""Long Short Term Memory organizations""",Long Short-Term Memory networks,6
"""particular esteem decay""",singular value decomposition (SVD),6
"""various layer perceptron""",Multi-layer perceptron (MLP),6
"""rubbing welding""",friction welding,6
"""traffic stream expectation""",traffic flow prediction,6
"""machine perusing""",Machine Learning (ML),6
"""shaft shaping"" AND ""multi-channel""",beamforming,5
"""normalized mutual knowledge (NMI)""",normalized mutual information (NMI),5
"""production 4.zero""",construction 4.0,5
"""picture subtitle age""",image caption generation,5
"""appointive frameworks""",electoral systems,5
"""optical character acknowledgement""",Optical Character Recognition (OCR),5
"""voice amalgamation""",speech synthesis,5
"""harmony treaty""",settlement contract,5
"""observational mode decay""",empirical mode decomposition (EMD),5
"""primary thing analysis""",principal component analysis (PCA),5
"""lucky warnings""",random warnings,5
"""half and half system"" AND ""hybrid system""",hybrid system,5
"""nations of inception""",country of origin,5
"""conscientious cancer""",benign cancer/tumor,5
"""MobileNet engineering""",MobileNet (a neural network) architecture,5
"""pass-lingual""",cross-lingual,5
"""up to Dalmatian""",???,5
"""arrogance interval""",confidence interval,5
"""cerebrum affiliation""",neural network,5
"""adeno-related infection""",Adeno-associated virus (AAV),5
"""time collection analysis (TSA)""",time series analysis,5
"""grasp/slave""",master/slave,5
"""Neighborhood close to K""",K nearest neighbors (algorithm),5
"""lightness prompted""",buoyancy induced,5
"""blame proportion""",error rate,5
"""fitting blunder""",fitting error,5
"""authentic tremendous rate""",true positive rate (TPR),5
"""quick Fourier remodel""",Fast Fourier Transform (FFT),5
"""misleading pessimistic""",false negative (FN),5
"""fake fantastic charge""",false positive rate,5
"""sensor is friendly""",sensor is close,5
"""displaying instructing""",model training,5
"""ultimate comes about""",final result,5
"""shrewdly transportation framework""",intelligent transportation system,5
"""Lyme's sickness""",Lyme's disease,5
"""voter lack of concern""",voter disaffection,5
"""evaporating slants""",vanishing gradients,5
"""electric geyser"" AND ""electric boiler""",electric boiler,5
"""cell phone conduct""",???,5
"""cellular dividers""",cell walls,5
"""mean Total percentage errors""",mean absolute percentage error (MAPE),5
"""double straight classifier""",binary linear classifier,5
"""oxide earthenware""",oxide ceramics,5
"""couple of-input multiple-output""",multiple-input multiple-output,5
"""lengthy quick-time period reminiscence network""",long short-term memory networks (LSTM),5
"""recognizable proof of infection""",identification of disease,5
"""power ghastly thickness""",power spectral density,5
"""fetal liquor""",fetal alcohol (syndrome),5
"""speaker mannequin""",speaker model,5
"""enthusiastic discourse"" AND ""emotional speech""",emotional speech,5
"""deep transfer gaining knowledge""",deep transfer learning,5
"""astute house""",smart houses,5
"""non-transmittable sicknesses""",noncommunicable disease,5
"""low clamor speaker""",low noise amplifier (LNA),5
"""reverse proliferation"" AND ""backpropagation""",backpropagation,5
"""Tamura highlights""",Tamura features,5
"""mTOR conduit""",mTOR pathway,5
"""tall level of exactness""",high level of accuracy,5
"""flickered interest""",sparked interest,5
"""perilous great""",hazardous goods,5
"""voice signal acknowledgement""",(automatic) speech recognition (ASR),5
"""normal sulfur compound""",model sulfur compound,5
"""human activity affirmation""",human activity recognition,5
"""pluripotent foundational microorganism""",Pluripotent Stem Cell (PSC),5
"""unearthly area""",spectral domain (signal processing),5
"""openness therapy""",exposure therapy,5
"""organized game plan""",ordered fine structure ???,5
"""arrangement of constants"" AND ""set of parameters""",set of parameters,5
"""mastercard trades""",Mastercard transactions,5
"""particular worth decay""",single value decomposition (SVD),5
"""global positioning machine""",Global Positioning System (GPS),5
"""boisterous highlights""",noisy features,5
"""textual content era""",text generation,5
"""root hitch""",root node (in a decision tree),5
"""force phantom thickness""",power spectral density (PSD),5
"""clustered frequently interspaced brief""",clustered regularly interspaced short palindromic repeats (CRISPR),5
"""pellet-forming dye""",pellet-forming cell,5
"""chinese conventional medication""",Traditional Chinese Medicine,5
"""fake fish swarm""",artificial fish school (algorithm),5
"""sure financial development""",positive economic development,5
"""vitality economical""",energy efficient,5
"""food bigotry""",food intolerance,5
"""fragmentary differential equations""",Partial Differential Equation (PDE),5
"""mellow side effects""",mild reactions,5
"""outfit understanding""",ensemble learning,5
"""spiteful hub""",malicious node,5
"""touchy sufficient""",sensitive enough,5
"""ceaseless hepatitis""",chronic hepatitis,5
"""moo discovery""",???,5
"""ordinary to the plate""",normal to the plate,5
"""leucine-rich recurrent kinase 2""",leucine-rich repeat kinase 2 (LRRK2),5
"""squared bumble""",squared error,5
"""main element analysis (PCA)""",principal composent analysis (PCA),5
"""crossbreed approaches""",hybrid approaches,5
"""state of the symbolization""",state of the art,5
"""medicinal judgement""",medical diagnosis,5
"""picture confirmation"" AND ""image recognition""",image recognition,5
"""piece profundity""",[audio] bit depth,5
"""free segment investigation""",Independent Component Analysis (ICA),5
"""achieved by tainting""",caused by infection,5
"""spine community"" AND ""backbone network""",backbone network (deep learning),5
"""insusceptible immune system""",immune system,5
"""unaided pre-preparing""",unsupervised pre-training,5
"""cardiac disappointment""",cardiac failure,5
"""force supply unit""",power supply unit,5
"""generative ill-disposed organize""",Generative Adversarial Network (GAN),5
"""orthogonal tomahawk""",orthogonal axe,5
"""suggested absolute mistakes""",mean absolute errors,5
"""digital private community""",virtual private network (VPN),5
"""x-pillar images""",X-ray images,5
"""underground creepy crawly state""",ant colony,5
"""indirect changes"" AND ""nonlinear transformations""",nonlinear transformations,5
"""feathery method of reasoning""",fuzzy logic,5
"""talk sign"" AND ""speech signal""",speech signal,5
"""rejected from the examination""",excluded from the study,5
"""miniaturized scale electro-mechanical frameworks""",micro electromechanical systems,5
"""grapple boxes""",anchor boxes,5
"""getting-to-know behaviors""",learning behaviors,5
"""Elastic-pursuit""",Elastic-search,5
"""voltage kicking""",voltage buck-boost converter,5
"""subthalamic core""",subthalamic nucleus (STN),5
"""shading amendment""",color correction,5
"""Business Rationale Layer""",Business Logic Layer (BLL),5
"""ok-nearest buddies""",k-nearest neighbors,5
"""circle dissemination technique""",disc diffusion method,5
"""reaction time to inquiry""",query response time,5
"""fascination band""",???,5
"""wave-shaped data""",waveform,5
"""mean temperature distinction""",mean temperature difference,5
"""generative stochastic system""",generative stochastic network (GSN),5
"""neurodegenerative disarrange""",neurodegenerative disorder,5
"""artificial mental ability""",artificial intelligence,5
"""repetitive neural arrangement""",recurrent neural network (RNN),5
"""ePSXe""",???,5
"""multi-elegance classification""",multi-class classification,5
"""far off operating""",???,5
"""inactive semantic ordering""",latent semantic indexing (LSI),5
"""ovarian disappointment""",ovarian failure,5
"""squared screw up""",squared error,5
"""quality focusing on"" AND ""gene targeting""",gene targeting,5
"""Weighted aggregate technique""",Weight Sum Model (WSM),5
"""slim movies""",thin films,5
"""post horrible pressure issues""",post-traumatic stress disorder (PTSD),5
"""maximum probability (MLE)""",maximum likelihood estimation (MLE),5
"""tumor web page""",tumor site,5
"""mean supreme blunder""",absolute error,5
"""impedance commotion""",energy noise,5
"""profoundly saved""",heavily conserved,5
"""character check"" AND ""identity verification""",identity verification,5
"""individual advanced partners""",personal digital assistant (PDA),5
"""United Nations agency square measure""",United Nations agency,5
"""picture smoothening""",image smoothing,5
"""logical language processing""",natural language processing,5
"""fake mindfulness""",artificial intelligence,5
"""ecological annihilation"" AND ""environmental damage""",environmental damage,5
"""planar winding inductor""",planar spiral inductor,5
"""approval information set""",validation dataset,5
"""accepted outcast""",trusted third party,5
"""cross over colon""",transverse colon,5
"""brought together installment connection point""",Unified Payment Interface (UPI),5
"""alluring charge""",Attractive Interaction,5
"""splendid watches""",smart watches,5
"""telephone recognition system""","phone recognition system (\""phone\"" as in speech sound)",5
"""energetic stickiness""",dynamic viscosity,5
"""Laplace rework""",Laplace transform,5
"""relapse and categorizations""",regression and classification,5
"""variable attractive field""",variable magnetic field,5
"""throwing a vote""",voting,5
"""enchantment square""",magic square,5
"""element-of-speech (POS)""",part-of-speech (POS),5
"""symphonious age""",harmonic generation,5
"""solitary value decomposition""",singular value decomposition (SVD),5
"""non-straight capability""",non-linear function,5
"""artificial cognizance""",artificial intelligence,5
"""off-base negative""",false negative,5
"""maintain vector machine""",support vector machine (SVM),5
"""miniaturized scale permeable""",microporous,5
"""non-straight data""",non-linear data,5
"""remaining learning technique""",residual learning strategy,5
"""root suggest squared error""",root mean square error (RMSE),5
"""open air correspondence""",outdoor communication,5
"""speech emotion reputation""",emotion recognition,5
"""vocal bundle""",vocal tract,5
"""solo pre-preparing""",unsupervised pre-training,5
"""observational dissemination""",empirical distribution,5
"""imperativeness profitability""",energy efficiency,5
"""diary bearing"" AND ""lubricant""",journal bearing,5
"""manual vector machines""",support vector machines,4
"""shading co-event techniques""",color co-occurrence techniques,4
"""partial administrator"" AND (""Baleanu"" OR ""Riemann"")",fractional operator,4
"""strange white platelets""",abnormal white blood cells,4
"""power range thickness""",power spectrum density,4
"""term recurrence reverse report recurrence""",term frequency-inverse document frequency (TF-IDF),4
"""ceaseless estimations""",continuous recording,4
"""tall immaculateness""",high purity,4
"""choice wilderness""",decision jungle (algorithm),4
"""touchy traffic""",sensitive traffic,4
"""lacking youngsters""",missing children,4
"""physic-chemical assets""",physical and chemical properties,4
"""extraction draws near""",singular value decomposition (SVD),4
"""speaker acknowledgement framework""",speaker recognition system,4
"""cushioned rule""",fuzzy logic,4
"""corrosive-base response""",corrosive-base reaction,4
"""specialist based demonstrating""",agent based modeling,4
"""structural health observance""",structural health monitoring,4
"""Transmission to-Commotion Proportions""",signal-to-noise ratios (SNRs),4
"""lipoteichoic corrosive""",lipoteichoic acid,4
"""managed AI computation""",supervised machine learning algorithm,4
"""various information numerous yield""",Multiple-input multiple-output (MIMO),4
"""Brian poet""",???,4
"""quality drive"" AND ""gene drive""",gene drive,4
"""laptop-aided diagnosis""",computer-aided diagnosis (CAD),4
"""Protospacer neighboring theme""",Protospacer adjacent motif (PAM),4
"""engineered minority over-testing strategy""",Synthetic Minority Over-sampling TEchnique (SMOTE),4
"""adverse education system""",adversarial training,4
"""modulus work"" AND ""modulus function""",modulus function,4
"""incorporation edifices""",inclusion complexes (ICs),4
"""burns through less force""",consumes less power,4
"""liquor reliance""",alcohol dependence,4
"""level and vertical tomahawks""",horizontal and vertical axes,4
"""between channel obstructions""",interchannel interference (ICI),4
"""bolster vector classifier (SVC)""",support vector classifier (SVC),4
"""chest peril""",breast cancer,4
"""sensor hub asset""",resource sensor?,4
"""Tool Learning (ML)""",Machine Learning (ML),4
"""World Exchange Association (WTO)""",World Trade Organization (WTO),4
"""anticipation and order""",prediction and classification,4
"""order and relapse investigation""",classification and regression analysis,4
"""insertion misfortune""",insertion loss,4
"""slithering frame""",sliding window (in signal processing),4
"""circular embed""",cochlear implant,4
"""Hey Greetings"" AND ""hear*""",hearing-impaired (HI),4
"""motion to commotion""",signal to noise,4
"""down-testing"" AND ""up-inspecting""","downsampling, upsampling",4
"""dynamic time traveling (DTW)""",dynamic time warping (DTW),4
"""wavelet-parcel disintegration""",wavelet packet decomposition (WPD),4
"""antiseptic susceptibility test""",antimicrobial susceptibility testing,4
"""substantial metallic particles""",Heavy metal ions,4
"""penmanship investigation""",handwriting analysis,4
"""Primary Condition Displaying (SEM)""",Structural equation modeling (SEM),4
"""non-negative framework factorization""",Non-negative matrix factorization (NMF),4
"""lattice of covariance""",covariance matrix,4
"""rosseland guess""",Rosseland approximation,4
"""truth stretch""",confidence intervals,4
"""profound RNN""",deep RNN,4
"""genuine advantageous fee""",true positive rate,4
"""actual fantastic charge""",true positive rate (TPR),4
"""fake mind association""",artificial neural network,4
"""main part examination (PCA)""",principal component analysis (PCA),4
"""dormant dirichlet allocation""",Latent Dirichlet Allocation (LDA),4
"""Brobdingnagian information""",big data,4
"""cross-endorsement method""",cross-validation method,4
"""NMR flag""",NMR signal,4
"""over the top vitality""",excessive energy,4
"""trifluoroacetic corrosive""",trifluoroacetic acid,4
"""movement encryption key""",group traffic encryption key (GTEK),4
"""oddity recognition"" AND ""anomaly recognition""",anomaly recognition,4
"""unsuspecting Bayes""",naive Bayes,4
"""Recursive Element Elimination""",Recursive Feature Elimination (RFE),4
"""unthinkable pursuit"" AND ""Tabu""",Tabu search,4
"""full affiliation layer""",fully-connected layer (in a neural network),4
"""mind brokenness""",brain damage,4
"""carbolic corrosive""",carbolic acid,4
"""Collaborative Scholarly Group""",Integrated Knowledge Network ?,4
"""COVID-19 terrible""",COVID-19 negative,4
"""COVID-19 trial casket""",COVID-19 test kit,4
"""hack noises""",cough sounds,4
"""profound include extraction""",deep feature extraction,4
"""Gaussian participation work""",Gaussian membership function,4
"""feathery set""",fuzzy set,4
"""Siamese neural organizations""",Siamese neural networks,4
"""parcel dropouts""",packet loss (in network communication),4
"""Tensor handling unit""",Tensor Processing Unit (TPU),4
"""COSFIRE channel""",COSFIRE filter,4
"""profoundly association""",dense layer (in neural networks),4
"""time-repeat region""",time-frequency space,4
"""phthalic corrosive""",phthalic acid,4
"""ultra great workability""",ultra high performance,4
"""worldwide component"" AND ""global features""",global features,4
"""Security safeguarding validation""",Privacy-preserving authentication (PPA),4
"""false effective fee""",false positive rate,4
"""review and Fl-score""",recall and F1-score,4
"""enrollment works"" AND ""activation functions""",activation functions,4
"""conditional irregular fields""",conditional random fields (CRF),4
"""low atomic weight heparin""",Low molecular weight heparin,4
"""urban scheming""",urban planning,4
"""kind II error""",type II error,4
"""front uveitis""",anterior uveitis,4
"""medicinal intercessions""",medicial interventions,4
"""round ride Time""",round trip time,4
"""unremitting ailment""",chronic disease,4
"""Constant Fatigue Syndrome""",Chronic Fatigue Syndrome (CFS),4
"""solitary esteem decay""",singular value decomposition,4
"""semi-regulated methodologies""",semi-supervised [machine learning] methods,4
"""Made Bits of information""",artificial intelligence,4
"""bitcoin cryptocurrency trade""",???,4
"""Divider Road Diary""",Wall Street Journal,4
"""fluffy logical""",fuzzy logic,4
"""antigermicidal agent""",agent that has an activity opposed to killing germs,4
"""unbiased aspect evaluation""",independent component analysis (ICA),4
"""Worldwide include"" AND ""global feature""",global feature,4
"""retention spectrometer""",[atomic] absorption spectrometer,4
"""independent aspect analysis""",independent component analysis (ICA),4
"""palindromic reiterates""",clustered regularly interspaced short palindromic repeats (CRISPR),4
"""like manner coupling (PCC)""",??? (found in 10.1109/icerect56837.2022.10060600),4
"""commonsense esteem""",practical value,4
"""valproic corrosive""",valproic acid,4
"""Rule Part Examination""",Principal Component Analysis,4
"""diffusion enhanced imaging""",diffusion weighted imaging,4
"""clamor recurrence""",noise frequency,4
"""autonomous segment examination""",independent component analysis (ICA),4
"""newborn child demise""",(sudden) infant death syndrome (SIDS),4
"""nearby anomaly factor""",local outlier factor (LOF),4
"""trusting Bayes""",naive Bayes,4
"""unusual timberland""",random forest,4
"""brilliant right hand""",smart assistant,4
"""breast cancer revelation""",breast cancer diagnosis,4
"""constitutional residences""",???,4
"""self arranging guide""",self organizing map,4
"""recognizable proof mode""",verification mode (of a biometric recognition system),4
"""central composite plan (CCD)""",Central Composite Design (CCD),4
"""lawful mind""",legitimacy,4
"""intra-molecule dispersion model""",Intraparticle diffusion model,4
"""protein transduction area""",protein transduction domain,4
"""prosciutto"" AND ""perovskite""",perovskite,4
"""general nicely-being""",overall well-being,4
"""oddity-based intrusion detection""",anomaly-based intrusion detection,4
"""tyke hubs""",child nodes,4
"""backing vector regression""",Support Vector Regression (SVR),4
"""sent to the rest"" AND ""spread to the rest""",spread to the rest,4
"""basic controllers"" AND ""key regulators""",key regulators,4
"""fake cognizance""",artificial intelligence,4
"""kindhearted tumor""",benign tumor,4
"""programmed location framework""",automatic detection system,4
"""counterfeit gadget""",artificial device,4
"""hard crown"" AND ""hard corona""",hard corona,4
"""outward appearance acknowledgement""",face recognition,4
"""acoustic sign highlights""",acoustic signal features,4
"""downguideline""",down-regulation,4
"""privateness upkeep""",privacy maintenance,4
"""aviation route illnesses""",airborne diseases,4
"""LSTM brain network""",LSTM neural network,4
"""sincere Bayesian""",naive Bayesian,4
"""ground vicinity"" AND ""surface area""",surface area,4
"""cyber rush""",cyber attack,4
"""back-proliferation brain organization""",back-propagation neural network (BPNN),4
"""phones of the body""",body cells,4
"""Model Schooling System""",Model training process,4
"""brilliant telephone""",smart phone,4
"""bunched consistently interspaced""",clustered regularly interspaced short palindromic repeats (CRISPR),4
"""negative and ensuing""","\""negative and subsequent\""",4
"""real fine charge""",true positive rate,4
"""genuine ecological condition""",real enviroment,4
"""muscle misfortune""",muscle loss,4
"""ill-disposed discourse""",hate speech,4
"""contrarily influenced"" AND ""negatively affected""",negatively affected,4
"""obscure tuple""",unknow tuple (?),4
"""permeable middling""",porous medium,4
"""liking chromatography""",affinity chromatography,4
"""double-frequency index (BIS)""",Bispectral index (BIS),4
"""swish classifier""",best classifier,4
"""movement free survival""",progression free survival,4
"""savvy assembling""",smart manufacturing,4
"""detainee’s difficulty""",Prisoner's Dilemma,4
"""thoracic radiographic pictures""",chest X-ray images,4
"""schooling set of rules""",training algorithm,4
"""protein-restricting site""",protein binding site,4
"""political race measure""",political competition system,4
"""hub dissatisfaction""",node failure,4
"""break recognizable proof""",intrusion identification (?),4
"""canny meter""",smart meter,4
"""central part investigation""",principal component analysis (PCA),4
"""phony neural affiliation""",artificial neural network,4
"""paired grouping issues""",binary classification problems,4
"""outrageous gradient boosting""",extreme gradient boosting,4
"""laptop tomography""",computed tomography (CT),4
"""low-fat eating routine""",low-fat diet,4
"""relapse and expectation""",regression and prediction,4
"""deep switch gaining knowledge""",deep transfer learning,4
"""genuine inebriation""",real intoxication,4
"""hearable framework""",auditory system,4
"""Confidentiality, Integrity, and openness""","Confidentiality, Integrity, and Availability (CIA)",4
"""humanoid wealth""",human capital,4
"""slightest created nations""",least developed countries,4
"""HTTPS mocking""",HTTPS spoofing,4
"""carb esterase""",carbohydrate esterases,4
"""residing consumers""",domestic consumers,4
"""cells were civilized""",cells were cultivated,4
"""mechanized picture dealing""",digital image processing,4
"""butt-centric waterway""",anal canal,4
"""contrast-restricted versatile histogram balance""",contrast-limited adaptive histogram equalization (CLAHE),4
"""information revelation in databases""",knowledge discovery in databases,4
"""nonstop handling""",continuous operation,4
"""Discourse Emotional Recognition""",speech emotion recognition,4
"""autoregressive shifting common""",autoregressive moving average,4
"""ultra-tidy""",ultra-clean,4
"""mean squared goof""",mean spared error,4
"""Hartmann digit""",Hartmann number,4
"""remedy research"" AND ""therapy research""",therapy research,4
"""idle dirichlet allocation""",Latent Dirichlet Allocation (LDA),4
"""nurture gas""",greenhouse gasses,4
"""extremely huge-band""",ultra wideband,4
"""unusual white platelets""",abnormal white blood cells,4
"""non-parametric relapse""",non-parametric regression,4
"""straight and non-direct issues""",linear and non-linear problems,4
"""Arnold's feline guide""",Arnold's cat map,4
"""crude organization traffic information""",raw network traffic data,4
"""assistance vector maker""",Support Vector Machine (SVM),4
"""keyless passage""",keyless entry,4
"""directly detachable"" AND ""linearly separable""",linearly separable,4
"""genuine, high-quality charge""",true positive rate,4
"""cowl item""",???,4
"""smoothing of the limestone""",Limestone neutralization/treatment,4
"""reenactments apparatuses""",simulation tools,4
"""fashionable duties""",modelling tasks,4
"""sustenance affirmation""",food recognition,4
"""vitality recuperation framework""",energy recovery system,3
"""butt-centric channel""",anal canal,3
"""equipment benevolent""",hardware-friendly,3
"""assiduity 4.0""",Industry 4.0,3
"""center pay gathering""",middle income group,3
"""authentic, acceptable rate""",true positive rate,3
"""sign embellishment circuits""",signal conditioning circuits,3
"""guy-in-the-middle (MITM)""",man-in-the-middle (MITM),3
"""oftenness identification""",radio frequency identification,3
"""fake experiences (AI)""",artificial intelligence,3
"""tantamount exactness""",comparable accuracy,3
"""disappearing and detonating inclination""",vanishing and exploding gradient,3
"""man-made conscience""",artificial intelligence,3
"""honest to goodness negative""",true negative,3
"""Hilbert rework""",Hilbert transform,3
"""long brief-term memory network""",long short-term memory networks (LSTM network),3
"""recipient administrator trademark""",receiver operating characteristic (ROC),3
"""Beginning Coin Offerings""",Initial Coin Offerings,3
"""false anxiety"" AND ""false alarm""",false alarm,3
"""Bidirectional Encoder Depiction""",Bidirectional Encoder Representations [from Transformers] (BERT),3
"""fuzzy eyewitness""",fuzzy observer,3
"""signal language identity""",sign language recognition,3
"""story nucleases""",TALE nucleases,3
"""low pay levels"" AND ""low income levels""",low income levels,3
"""koverlay cross-approval""",k-fold cross-validation,3
"""prescient blunder""",prediction error,3
"""authentic acceptable fee""",true positive rate,3
"""basic execution measurements""",key performance indicators (KPI),3
"""discourse feeling acknowledgement""",speech emotion recognition,3
"""bunching blunder""",clustering error,3
"""venture detergent""",Venturi scrubber,3
"""Post-awful PTSD""~5",Post-Traumatic Stress Disorder (PTSD),3
"""clinical photograph popularity""",scientific picture reputation,3
"""cutting edge metering foundation""",advanced metering infrastructure (AMI),3
"""autoregressive distributive slack""",autoregressive distributed lag,3
"""programmed discourse acknowledgement""",automatic speech recognition (ASR),3
"""mass exchange wonder""",mass transfer phenomenon,3
"""obsessive cerebrum""",pathological brain,3
"""direct cosine change""",linear cosine transform,3
"""preposterous benchmark""",extravagant claim,3
"""major recurrence"" AND ""speech signal""",fundamental frequency,3
"""abnormal state of trust""",low level of trust,3
"""endoplasmic reticulum stretch""",endoplasmic reticulum stress,3
"""worldly flap epilepsy""",Temporal Lobe Epilepsy (TLE),3
"""artificial data (AI)""",Artificial Intelligence (AI),3
"""shading co-event lattice""",Color Co-occurrence Matrix (CCM),3
"""ghastly attributes""","spectral characteristics (as in spectrum, not ghosts)",3
"""impartial aspect evaluation""",Intervention Component Analysis (ICA),3
"""submitting blunders""",submitting errors,3
"""vitreous silliness""",vitreous humor,3
"""uncooked ECG""",raw ECG,3
"""shrouded node""",hidden node,3
"""Post-horrendous PTSD""~5",Post-Traumatic Stress Disorder (PTSD),3
"""worldwide positioning gadget""",Global Positioning System,3
"""wire hypothesis"" AND ""transmission line theory""",transmission line theory,3
"""parallel choice trees""",binary decision trees,3
"""hazard overseeing""",risk management,3
"""heterosexual structure of carbon""",anisotropic structure of carbon,3
"""noticeable light communication""",visible light communication (VLC),3
"""multilabel soak up""",multilabel learning,3
"""deep switch mastering""",deep transfer learning,3
"""bearing shortcoming finding""",bearing fault detection/diagnosis,3
"""hurtful improvement""",cancer,3
"""peevish entrails disorder""",irritable bowels syndrome,3
"""execution hope UTAUT""~10","performance expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",3
"""single-nucleotide replacements (SNPs)""",single-nucleotide polyphormism (SNPs),3
"""gate-activation work""",gated activation function,3
"""Long Short Term Memory organize""",Long Short-Term Memory network (LSTM),3
"""imperativeness procuring""",energy harvesting,3
"""neural convolution organization""",convolutional neural network,3
"""grouped regularly interspaced""",clustered regularly interspaced short palindromic repeats (CRISPR),3
"""long short- tenure mind""",long short-term memory (LSTM),3
"""deep switch studying""",deep transfer learning,3
"""demonstrating and forecast""",modelling and prediction,3
"""linear repeating projection layer""",linear recurrent projection layer,3
"""false current behavior""",???,3
"""snap stream data""",click stream data,3
"""gooey liquid stream""",viscous fluid flow,3
"""obstructive aspiratory ailment""",obstructive respiratory disease,3
"""flag-bearer RNA""",messenger RNA,3
"""preparing clumps""",training batches,3
"""financial arrange amount """,Economic order quantity (EOQ),3
"""easy to-cutting edge converter""",analog-to-digital converter (ADC),3
"""estimator's vigour""",estimator's robustness,3
"""non-direct combination""",non-linear combination,3
"""likelihood solidity""",probability density,3
"""advanced Encryption fashionable""",Advanced Encryption Standard (AES),3
"""Reynolds integer""",Reynolds number,3
"""motion to clamor""",signal to noise,3
"""modiwiwireless""",modifi,3
"""post-usable patient""",post-operative patient,3
"""chloroacetic corrosive""",chloroacetic acid,3
"""logistical growth phage""~5",logarithmic growth phase,3
"""ammonium acetate liquor""",ammonium acetate solution,3
"""open understanding casing""",open reading frame (ORF),3
"""Greatest Entropy (ME)""",Maximum Entropy (ME),3
"""toxic emanation"" AND ""toxic emission""",toxic emission,3
"""herbal length""",natural size,3
"""expanded reality headset""",augmented reality headset,3
"""audio quest""","audio search (or \""sound search\"")",3
"""full associate layer""",fully-connected layer (in a neural network),3
"""warmth move capacity""",???,3
"""product trading nations""",[?] countries,3
"""different info numerous result""",multiple input multiple output (MIMO),3
"""limited distinction time-space""",finite-difference time-domain,3
"""feathery mixing""",fuzzy aggregation,3
"""different information numerous result""",multiple input multiple output (MIMO),3
"""coronary vein malady""",coronary artery disease (CAD),3
"""exactness, accuracy and affectability""","accuracy, precision and sensitivity",3
"""bio-similitude""",Bio-compatibility,3
"""thick convolutional network""",Dense Convolutional Network (DenseNet),3
"""giving up-to-stop""",end-to-end,3
"""electronic scientific fact""",Electronic medical record (EMR),3
"""fleecy set""",fuzzy set,3
"""lingering brain organization""",Residual Neural Network (ResNet),3
"""country mannequin""",state model,3
"""platinum impetus""",platinum catalyst,3
"""phishing site acknowledgment""",phishing site recognition,3
"""world financial discussion""",World Economic Forum,3
"""wellsprings of electric vitality""",sources of electric energy,3
"""non-straight difficulties""",nonlinear problems,3
"""moo multicollinearity""",low multicollinearity,3
"""foremost aspect evaluation""",principal component analysis (PCA),3
"""dwindled liquidity""",decreased liquidity,3
"""real fine fee""",True Positive Rate (TPR),3
"""content-based picture recuperation""",Content-Based Image Retrieval (CBIR),3
"""recouped rate""",recovered rate,3
"""aggregate code possession""",collective code ownership,3
"""hereditary confusion""",genetic disorder,3
"""computerized spotting""",automatic detection,3
"""homology coordinated repair""",Homology-directed repair (HDR),3
"""confronting acknowledgement""",face recognition,3
"""recall, perfection, and delicacy""","recall, precision, and accuracy",3
"""glaucoma distinguishing proof""",glaucoma identification,3
"""added clatter""",additional noise,3
"""IEEE Diary on""",IEEE Journal on,3
"""ok-nearest pals""",k-nearest neighbors,3
"""computer chip centres""",processor/CPU cores,3
"""support vector computing device""",support vector machine (SVM),3
"""individual place system""",personal area network,3
"""essential thing evaluation""",principal component analysis (PCA),3
"""low-goal recording""",low-resolution video,3
"""Worldwide Diary on""",International Journal on,3
"""vector bolster machine""",support vector machine (SVM),3
"""inclination vector stream""",gradient vector flow (GVF),3
"""fluffy reason""",fuzzy logic,3
"""haphazardly relegate""",randomly assign,3
"""twofold shroud""",binary masking,3
"""facial activity coding framework (FACS)""",Facial Action Coding System (FACS),3
"""Kinson's illness""",Parkinson's disease,3
"""more elevated amount highlights""",high-level features,3
"""repudiation of attacks""",???,3
"""part of discourse (POS)""",part of speech (POS),3
"""electrical blame""",electrical fault,3
"""fractional distance search""",distance weighting,3
"""various info numerous result""",multiple input multiple output (MIMO),3
"""Viterbi interpreting""",Viterbi decoding,3
"""vigour to clamour""",energy to noise (?),3
"""human hear-able framework""",human auditory system,3
"""loss of equality"" AND ""loss of balance""",loss of balance,3
"""sifted flag""",filtered signal,3
"""detonating and evaporating inclinations""",exploding and vanishing gradients,3
"""lessening computational above""",lessening computational overhead,3
"""keep up vector machine""",support vector machine (SVM),3
"""Confidentiality, Integrity, and handiness""","Confidentiality, Integrity, and Availability (CIA)",3
"""half and half mists""",hybrid clouds,3
"""head torment""",head pain / headache,3
